Station_No	State	Name	Location
			
NSW_1	NSW	Sydey Central	"-33.88315994118652, 151.2069190665615"
NSW_2	NSW	Campbelltown	"-34.06372815988589, 150.8147234955845"
NSW_3	NSW	Mittagong	"-34.45247505187665, 150.44816934899725"
NSW_4	NSW	Moss Vale Station	"-34.54805744628451, 150.37158892682936"
NSW_5	NSW	Goulburn Station	"-34.75808683851374, 149.7193844884868"
NSW_6	NSW	Gunning Station	"-34.7796579572814, 149.26138663188013"
NSW_7	NSW	Yass Junction	"-34.8088622646147, 148.9151272077961"
NSW_8	NSW	Harden Station	"-34.553571610730835, 148.37164582682954"
NSW_9	NSW	Cootamundra Station	"-34.64089748764852, 148.0308155815689"
NSW_10	NSW	Junee Station	"-34.87030257777244, 147.5838938943064"
NSW_11	NSW	Wagga Wagga Station	"-35.12024109768957, 147.36838492828497"
NSW_12	NSW	The Rock Station	"-35.27160530587818, 147.11869796310236"
NSW_13	NSW	Henty Station	
NSW_14	NSW	Culcairn Station	
NSW_15	NSW	Albury Station	
VIC_1	Victoria	Wodonga 	
VIC_2	Victoria	Wangaratta Station	
VIC_3	Victoria	Benella Station	
VIC_4	Victoria	Seymour Station	
VIC_5	Victoria	Broadmeadows Station	
VIC_6	Victoria	Southern Cross 	
